[1231/053141.051:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1231/205123.285:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0103/203757.061:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0104/210010.819:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0105/050114.474:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0105/060208.885:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0106/070449.680:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0107/044614.677:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0109/040128.981:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040128.996:ERROR:exception_handler_server.cc(524)] ConnectNamedPipe: The pipe is being closed. (0xE8)
[0109/040144.712:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040144.712:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040144.712:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040144.712:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040144.712:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040144.728:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040144.728:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040144.728:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040145.872:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040145.872:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040145.872:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040145.872:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040145.872:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040145.872:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040145.872:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040145.872:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040146.230:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040146.230:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040146.230:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040146.230:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040146.230:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040146.230:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040146.230:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040146.230:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040154.747:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040154.747:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040154.747:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040154.747:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040154.747:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040154.747:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040154.747:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040154.747:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040200.435:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040200.435:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040200.435:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040200.435:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040200.435:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040200.435:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040200.435:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040200.435:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040235.405:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040235.413:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040235.413:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040235.413:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040235.413:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040235.413:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040235.413:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040235.413:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040235.867:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040235.867:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040235.867:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040235.867:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040235.867:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
